country,year,product_group,grouping_level,export_usd_thousand,import_usd_thousand,trade_balance_usd_thousand,export_product_share_pct,import_product_share_pct,ahs_simple_average_pct,ahs_weighted_average_pct,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_pct,ahs_duty_free_tariff_lines_share_pct,ahs_specific_tariff_lines_share_pct,ahs_ave_tariff_lines_share_pct,ahs_maxrate_pct,ahs_minrate_pct,ahs_specificduty_imports_usd_thousand,ahs_dutiable_imports_usd_thousand,ahs_duty_free_imports_usd_thousand,mfn_simple_average_pct,mfn_weighted_average_pct,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_pct,mfn_duty_free_tariff_lines_share_pct,mfn_specific_tariff_lines_share_pct,mfn_ave_tariff_lines_share_pct,mfn_maxrate_pct,mfn_minrate_pct,mfn_specificduty_imports_usd_thousand,mfn_dutiable_imports_usd_thousand,mfn_duty_free_imports_usd_thousand
Kenya,2023,Metals,Sector,232330.64,842.91,231487.73,6.17,0.04,6.34,8.64,96.0,100.0,0.0,0.0,0.0,30.0,5.0,0.0,799.41,0.0,6.34,8.64,96.0,100.0,0.0,0.0,0.0,30.0,5.0,0.0,799.41,0.0
Kenya,2023,Minerals,Sector,36929.71,348.21,36581.5,0.98,0.02,5.0,5.0,47.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,235.21,0.0,5.0,5.0,47.0,100.0,0.0,0.0,0.0,5.0,5.0,0.0,235.21,0.0
Kenya,2023,Miscellaneous,Sector,52498.16,637.25,51860.91,1.39,0.03,5.32,5.19,139.0,84.17,15.83,0.0,0.0,40.0,0.0,0.0,374.7,6.15,5.32,5.19,139.0,84.17,15.83,0.0,0.0,40.0,0.0,0.0,374.7,6.15
Kenya,2023,Plastic or Rubber,Sector,349774.24,1495.69,348278.55,9.29,0.08,5.28,9.98,112.0,89.29,10.71,0.0,0.0,20.0,0.0,0.0,825.83,285.6,5.8,9.99,112.0,92.86,7.14,0.0,0.0,20.0,0.0,0.0,827.37,284.06
Kenya,2023,Stone and Glass,Sector,113230.03,570242.22,-457012.18999999994,3.01,28.7,4.32,0.0,89.0,91.01,8.99,0.0,0.0,5.0,0.0,0.0,250.79,569991.34,4.51,0.0,89.0,93.26,6.74,0.0,0.0,5.0,0.0,0.0,252.8,569989.33
Kenya,2023,Textiles and Clothing,Sector,121006.53,9610.74,111395.79,3.22,0.48,5.15,3.93,379.0,95.78,4.22,0.0,0.0,40.0,0.0,0.0,8887.67,51.54,5.48,3.93,379.0,99.47,0.53,0.0,0.0,40.0,0.0,0.0,8891.36,47.85
Kenya,2023,Transportation,Sector,101883.02,516.24,101366.78,2.71,0.03,4.23,4.68,30.0,83.33,16.67,0.0,0.0,5.0,0.0,0.0,170.18,11.54,4.8,4.92,30.0,100.0,0.0,0.0,0.0,5.0,3.0,0.0,181.72,0.0
Kenya,2023,Vegetable,Sector,247427.56,1181981.04,-934553.48,6.57,59.5,3.29,6.98,757.0,47.82,49.41,2.77,0.0,40.0,0.0,2160.96,617869.78,250132.16,3.41,6.98,757.0,49.54,47.69,2.77,0.0,40.0,0.0,2160.96,617895.33,250106.62
Kenya,2023,Wood,Sector,88892.65,10215.67,78676.98,2.36,0.51,7.64,5.04,100.0,92.0,8.0,0.0,0.0,40.0,0.0,0.0,1258.24,16.38,7.64,5.04,100.0,92.0,8.0,0.0,0.0,40.0,0.0,0.0,1258.24,16.38
Kenya,2023,All Products,Total,3763480.59,1986639.48,1776841.1099999999,100.0,100.0,4.54,4.01,2621.0,69.67,28.42,1.91,0.0,100.0,0.0,4401.38,768962.02,883726.75,4.79,4.01,2621.0,72.91,24.57,2.02,0.5,100.0,0.0,4403.24,769207.69,883481.08
