region_code,region_name,year,regional_gdp_usd,regional_gdp_per_capita_usd,regional_gdp_growth_pct,countries_reporting
EAF,Eastern Africa,2020,431798456871.07306,994.5105917798853,0.42260562193852114,16
EAF,Eastern Africa,2021,478207293924.0432,1072.381049568488,5.732592665374735,16
EAF,Eastern Africa,2022,523230407901.31683,1143.1919444316586,5.059829994915374,16
EAF,Eastern Africa,2023,535744727893.5001,1140.7814667212306,5.624023140110582,16
EAF,Eastern Africa,2024,574812202883.9673,1192.892462923237,5.327111288806148,16
